Country,Place,Ling_level,Change
1,Budel,Lexis,9
1,Budel,Morph,4
1,Budel,Sound,13
2,Deerlijk,Lexis,21
2,Deerlijk,Morph,10
2,Deerlijk,Sound,19
1,Den_Burg,Lexis,30
1,Den_Burg,Morph,11
1,Den_Burg,Sound,12
2,Diepenbeek,Lexis,29
2,Diepenbeek,Morph,14
2,Diepenbeek,Sound,19
1,Dokkum,Lexis,12
1,Dokkum,Morph,11
1,Dokkum,Sound,12
1,Dordrecht,Lexis,18
1,Dordrecht,Morph,7
1,Dordrecht,Sound,8
1,Grolloo,Lexis,17
1,Grolloo,Morph,10
1,Grolloo,Sound,14
1,Grouw,Lexis,16
1,Grouw,Morph,7
1,Grouw,Sound,8
1,Huizen,Lexis,19
1,Huizen,Morph,7
1,Huizen,Sound,16
1,IJmuiden,Lexis,26
1,IJmuiden,Morph,0
1,IJmuiden,Sound,11
1,Kampen,Lexis,11
1,Kampen,Morph,7
1,Kampen,Sound,11
1,Kerkrade,Lexis,13
1,Kerkrade,Morph,15
1,Kerkrade,Sound,13
1,Lunteren,Lexis,23
1,Lunteren,Morph,4
1,Lunteren,Sound,15
2,Maldegem,Lexis,39
2,Maldegem,Morph,13
2,Maldegem,Sound,20
1,Naaldwijk,Lexis,31
1,Naaldwijk,Morph,3
1,Naaldwijk,Sound,11
1,Nijverdal,Lexis,12
1,Nijverdal,Morph,6
1,Nijverdal,Sound,7
2,Oostende,Lexis,33
2,Oostende,Morph,3
2,Oostende,Sound,13
2,Overijse,Lexis,20
2,Overijse,Morph,16
2,Overijse,Sound,12
1,Pannerden,Lexis,16
1,Pannerden,Morph,3
1,Pannerden,Sound,16
2,Poperinge,Lexis,30
2,Poperinge,Morph,7
2,Poperinge,Sound,11
2,Rijkevorsel,Lexis,17
2,Rijkevorsel,Morph,15
2,Rijkevorsel,Sound,16
1,Sint-Oedenrode,Lexis,41
1,Sint-Oedenrode,Morph,5
1,Sint-Oedenrode,Sound,13
1,Slochteren,Lexis,24
1,Slochteren,Morph,34
1,Slochteren,Sound,14
1,Tegelen,Lexis,8
1,Tegelen,Morph,18
1,Tegelen,Sound,13
1,Zierikzee,Lexis,15
1,Zierikzee,Morph,14
1,Zierikzee,Sound,12
